Rank	State	data2013	data2012	data2011
1	Kerala	95.5	92.19	93.91
2	Mizoram	93.4	88.8	91.6
3	Tripura	91.5	73.19	87.8
4	Goa	90.5	87.4	87.4
5	Himachal Pradesh	86.5	76.48	83.8
6	Nagaland	85.9	76.88	82.9
7	Sikkim	86.2	68.81	82.2
8	Tamil Nadu	83	73.45	80.3
9	Maharashtra	83.2	66.59	80.1
10	Punjab	83.1	69.65	79.9
11	Manipur	83.8	63.74	79.8
12	Uttarakhand	82.5	71.62	79.6
13	Gujarat	82.2	69.14	79.3
14	West Bengal	80.2	68.64	77.1
15	Haryana	79.7	67.91	76.6
16	Karnataka	78.6	66.64	75.6
17	Meghalaya	79.5	62.56	75.5
18	Odisha	76.8	55.08	73.45
19	Assam	76.5	63.25	73.2
20	Chattisgarh	74.5	64.66	71
21	Madhya Pradesh	74	60.53	70.6
22	Uttar Pradesh	75.2	56.27	71.7
23	Jammu and Kashmir	72.2	55.52	68.7
24	Andhra Pradesh	71.2	60.47	67.7
25	Jharkhand	70.6	53.56	67.6
26	Rajasthan	70.1	60.41	67.1
27	Arunachal Pradesh	71.4	54.34	60.1
28	Bihar	67.8	47.54	54.1
